from,to,amount,date,type
acct-101,MULE-7,9400,2026-03-01 10:00,TRANSFER
acct-102,MULE-7,9100,2026-03-01 11:00,TRANSFER
acct-103,MULE-7,9700,2026-03-01 12:30,TRANSFER
acct-104,MULE-7,8900,2026-03-01 14:00,TRANSFER
acct-105,MULE-7,9300,2026-03-01 15:00,TRANSFER
MULE-7,OFFSHORE-1,45900,2026-03-01 18:00,TRANSFER
SHELL-CO,SMURF-1,9800,2026-03-02 09:00,CASH_IN
SHELL-CO,SMURF-1,9600,2026-03-02 13:00,CASH_IN
SHELL-CO,SMURF-1,9900,2026-03-02 16:00,CASH_IN
SHELL-CO,SMURF-1,9500,2026-03-03 10:00,CASH_IN
EMPLOYER-INC,alice,5200,2026-03-05 09:00,TRANSFER
alice,LANDLORD-LLC,1600,2026-03-06 08:00,TRANSFER
alice,GROCER,240,2026-03-07 17:00,CARD
EMPLOYER-INC,bob,4800,2026-03-05 09:00,TRANSFER
bob,UTILITY-CO,180,2026-03-08 12:00,CARD
